Time (s),Altitude (m)
0,12.705705072847195
1,12.705704625463113
2,12.705704785767011
3,12.705705081461929
4,12.705705379834399
5,12.705705671571195
6,12.705705869127996
7,12.705705960397609
8,12.952950447564945
9,13.019414512906224
10,22.510920551489107
11,51.20999004307669
12,98.35837634908967
13,161.57628555758856
14,248.23902937944513
15,352.9043870975729
16,477.28363033314236
17,624.7328521119198
18,786.1609695069492
19,967.1910513821058
20,1176.6938712620176
21,1398.3703131976072
22,1645.402754951967
23,1919.16781112866
24,2203.1969897731906
25,2520.9436111027608
26,2860.2431267228676
27,3214.6889283941127
28,3560.230543444515
29,3941.9621750642546
30,4345.004867100273
31,4783.563982762047
32,5244.289238040801
33,5697.699729967397
34,6181.7042696431745
35,6709.295971133164
36,7274.426439436851
37,7864.738095379085
38,8418.967304167803
39,8982.341955151409
40,9619.190247083432
41,10294.761327514076
42,11013.881215538015
43,11746.339505255106
44,12381.061754931929
45,13164.380708345212
46,13926.81184032571
47,14717.353943105089
48,15485.841243902338
49,16337.106621197658
50,17260.984378578607
51,18194.700816059136
52,19174.925462677027
53,20146.012633415754
54,21189.412934377906
55,22287.67391530052
56,23308.039399528294
57,24121.56971627951
58,25125.644369936083
59,26108.9282615087
60,27162.306676410255
61,28239.842189711984
62,29295.320848462172
63,30372.744427099242
64,31494.511097478797
65,32617.541655764915
66,33722.41224452702
67,34742.30863995454
68,35812.931645945646
69,36911.74439383205
70,37992.746261220076
71,39078.491882573464
72,40215.16384783678
73,41402.99107700493
74,42548.384459587745
75,43673.96641508269
76,44755.53826997802
77,45886.75789619074
78,46925.709705174435
79,48060.817127597285
80,49197.21773010865
81,50358.103780098376
82,51519.23596815509
83,52703.71875603183
84,53816.34568003146
85,54998.50336348335
86,56131.336922175135
87,57238.014493699186
88,58341.59312007157
89,59418.13612185756
90,60537.13725077722
91,61651.08471701888
92,62760.05511482898
93,63887.14540117723
94,65032.12201128609
95,66194.79843819863
96,67307.05769149214
97,68437.27446319896
98,69495.43135422608
99,70616.74386690825
100,71711.37476494897
101,72779.7204796616
102,73822.13388985116
103,74949.30459687265
104,76072.55567251449
105,77170.0921958707
106,78264.10203987127
107,79376.38252682297
108,80419.56786023686
109,81502.48429266666
110,82603.20541585644
111,83656.98599939747
112,84749.95069650142
113,85775.02574572328
114,86839.08009355108
115,87857.06203901954
116,88892.62689930177
117,89945.60119905067
118,90994.83889225393
